Crime,Gender,Age,sumtotal
Homicide,LGBTI,0 - 5 years,1
Homicide,LGBTI,6 - 11 years,0
Homicide,LGBTI,12 - 17 years,4
Homicide,LGBTI,18 - 28 years,15
Homicide,LGBTI,29 - 60 years,45
Homicide,LGBTI,61- 100 years,13
