Crime,Gender,Age,sumtotal
Threat,Male,0 - 5 years,7544
Threat,Male,6 - 11 years,12648
Threat,Male,12 - 17 years,14200
Threat,Male,18 - 28 years,25276
Threat,Male,29 - 60 years,52996
Threat,Male,61- 100 years,11752
