Crime,Gender,Age,sumtotal
Threat,LGBTI,0 - 5 years,6
Threat,LGBTI,6-11 years,6
Threat,LGBTI,12-17 years,20
Threat,LGBTI,18 - 28 years,82
Threat,LGBTI,29 - 60 years,135
Threat,LGBTI,61- 100 years,11
