Crime,Gender,Age,sumtotal
Homicide,Male,0 - 5 years,2134
Homicide,Male,6 - 11 years,6367
Homicide,Male,12- 17 years,14849
Homicide,Male,18 - 28 years,52581
Homicide,Male,29 - 60 years,205113
Homicide,Male,61- 100 years,52797
