Crime,Gender,Age,sumtotal
Threat,Female,0 - 5 years,7061
Threat,Female,6 - 11 years,11724
Threat,Female,12 - 17 years,13272
Threat,Female,18 - 28 years,29450
Threat,Female,29 - 60 years,63062
Threat,Female,61- 100 years,9783
